"filename", "language", "Svelte", "JSON with Comments", "JavaScript", "TypeScript", "HTML", "XML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\escuela\app.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 696, 0, 1, 697
"c:\Users\Usuario\escuela\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5569, 0, 0, 1, 5570
"c:\Users\Usuario\escuela\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\Usuario\escuela\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Usuario\escuela\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 102, 0, 0, 21, 23, 146
"c:\Users\Usuario\escuela\src\app.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Users\Usuario\escuela\src\app.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Usuario\escuela\src\hooks.server.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\Usuario\escuela\src\lib\classes\errors.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 3, 15
"c:\Users\Usuario\escuela\src\lib\classes\responses.classes.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Usuario\escuela\src\lib\components\Captcha\Captcha.svelte", "Svelte", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\index.d.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 94, 1, 119
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\ch-to-path.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 10, 46
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\char-preset.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\index.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 15, 83
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\option-manager.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\random.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 12, 24, 148
"c:\Users\Usuario\escuela\src\lib\components\Dropdown\Dropdown.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\escuela\src\lib\components\Messages\Alert.svelte", "Svelte", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Usuario\escuela\src\lib\components\Messages\AlertError.svelte", "Svelte", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usuario\escuela\src\lib\components\Messages\AlertSuccess.svelte", "Svelte", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Usuario\escuela\src\lib\components\Messages\AlertWarning.svelte", "Svelte", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Usuario\escuela\src\lib\components\Navbar\Navbar.svelte", "Svelte", 150, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 180
"c:\Users\Usuario\escuela\src\lib\components\Navbar\navbarItems.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 6, 97
"c:\Users\Usuario\escuela\src\lib\database\index.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 4, 35
"c:\Users\Usuario\escuela\src\lib\database\migrations\00001_usuarios.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Usuario\escuela\src\lib\database\migrations\00002_pregseg.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Usuario\escuela\src\lib\database\migrations\00003_sessions.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
